train_loss,train_acc,val_loss,val_acc,val_iou Global,val_iou Clases,score
0.4353964359016347,92.45204471762663,0.37134123501482974,93.47465644955476,0.8766708970069885,"[0.8867073655128479, 0.8666344285011292]",0.8579684426526675
0.3492247781023047,93.9579044117647,0.33415699088841344,95.12297657904023,0.9066452980041504,"[0.9123616218566895, 0.9009289741516113]",0.8845281599696432
0.3177372824428673,94.50224529590481,0.312576036272424,94.35723926248359,0.8928146362304688,"[0.8990104794502258, 0.8866188526153564]",0.8780838399204645
0.3186465954982248,94.39970527599061,0.3112804362278306,94.4827128604544,0.8953135013580322,"[0.8987172842025757, 0.891909658908844]",0.880027385516448
0.31637379605519145,94.36660220077614,0.33228104134623926,94.67390609761551,0.8980015516281128,"[0.9073842763900757, 0.8886188268661499]",0.878758929937743
-0.02838019408369647,96.08874256408293,-0.032962497145858374,96.22777177428841,0.9271515607833862,"[0.9304202198982239, 0.9238828420639038]",0.953950467120249
-0.033575136706415085,96.41244111902574,-0.03676831852540039,96.69936251978702,0.9359408617019653,"[0.9390963912010193, 0.9327852725982666]",0.9606738509701856
-0.035480350241961334,96.6163591771344,-0.03564414490286386,96.43375166704035,0.9310495853424072,"[0.933420717716217, 0.9286785125732422]",0.9570813314751146
-0.09314009481410783,96.78136121961806,-0.09705447260907778,96.73311061076927,0.9366410970687866,"[0.9390069246292114, 0.934275209903717]",0.9702069388395123
-0.09677595750050605,96.85650626787174,-0.09859031390691742,96.85502777303012,0.9389051198959351,"[0.9415366649627686, 0.9362736344337463]",0.972022131013192
